"param","estimate","lower_bound","upper_bound","model"
"nadu_mj_18~~nadu_mj_18",0.260823474935087,0.142686674648052,0.378960275222122,"fiml"
"nadu_mj_19~~nadu_mj_19",0.401087942884168,0.354856522666606,0.447319363101731,"fiml"
"nadu_mj_20~~nadu_mj_20",0.26605326176256,0.150668616543755,0.381437906981365,"fiml"
"smw~~smw",0.996854617926643,0.991102981974448,1.00260625387884,"fiml"
"rum_int~1",3.39419383941637,3.18940666829059,3.59898101054215,"fiml"
"rum_slope~1",0.168988832473778,-0.0556436310361401,0.393621295983697,"fiml"
"mj_int~1",0.837147086550203,0.524271533502014,1.15002263959839,"fiml"
"mj_slope~1",0.187828100822886,-0.157102292151877,0.532758493797649,"fiml"
"rum_int=~RUMXSc_17",0.774770321862792,0.728847736991857,0.820692906733726,"orig"
"rum_int=~RUMXSc_18",0.790370692174508,0.745282525405838,0.835458858943178,"orig"
"rum_int=~RUMXSc_19",0.792129792995903,0.739342414974833,0.844917171016973,"orig"
"rum_int=~RUMXSc_20",0.784975668142985,0.72254110792732,0.847410228358651,"orig"
"rum_slope=~RUMXSc_18",0.156240828728243,0.102089342788865,0.21039231466762,"orig"
"rum_slope=~RUMXSc_19",0.31317713711653,0.2042671736814,0.422087100551661,"orig"
"rum_slope=~RUMXSc_20",0.465523013959709,0.29775155273598,0.633294475183439,"orig"
"mj_int=~nadu_mj_18",0.954922296297114,0.837189414015687,1.07265517857854,"orig"
"mj_int=~nadu_mj_19",0.885951491385257,0.804965910014591,0.966937072755922,"orig"
"mj_int=~nadu_mj_20",0.849013223762922,0.767998143481945,0.930028304043899,"orig"
"mj_slope=~nadu_mj_18",-0.735147338288526,-0.970023032268074,-0.500271644308978,"orig"
"mj_slope=~nadu_mj_19",-0.341025067311851,-0.441209651823894,-0.240840482799808,"orig"
"rum_int~smw",0.0608606135416845,-0.0108714950266188,0.132592722109988,"orig"
"rum_slope~smw",0.00931983277452276,-0.121240993280822,0.139880658829868,"orig"
"mj_slope~rum_int",-0.0355818157667669,-0.161042965132984,0.0898793335994503,"orig"
"mj_slope~rum_slope",0.0305782918095592,-0.189504994588147,0.250661578207265,"orig"
"mj_slope~smw",-0.0934403389880219,-0.196589310302217,0.00970863232617322,"orig"
"mj_int~rum_int",0.105965303522431,0.00621733074245241,0.205713276302409,"orig"
"mj_int~rum_slope",0.152765397553939,-0.0216761506429578,0.327206945750837,"orig"
"mj_int~smw",0.0828257000509831,-0.0132949422737418,0.178946342375708,"orig"
"rum_int~white",-0.0439591684347619,-0.125025433884713,0.0371070970151888,"orig"
"rum_int~other",-0.00468096061459651,-0.089646177790221,0.080284256561028,"orig"
"rum_slope~white",0.0133147881190974,-0.129493506714949,0.156123082953144,"orig"
"rum_slope~other",-0.0195703128651433,-0.190725462642538,0.151584836912252,"orig"
"mj_int~white",-0.0305166495883507,-0.107670473480177,0.046637174303476,"orig"
"mj_int~other",0.0229318515622022,-0.0639723596791433,0.109836062803548,"orig"
"mj_slope~white",-0.0072340029396503,-0.102980404370194,0.0885123984908933,"orig"
"mj_slope~other",0.00206168285730305,-0.0983359854476036,0.10245935116221,"orig"
"smw~white",-0.0126936110065811,-0.0767117329228493,0.0513245109096871,"orig"
"smw~other",0.0822975135473684,-0.016846698969915,0.181441726064652,"orig"
"white~1",0.798362810841357,0.744147200574062,0.852578421108651,"orig"
"other~1",0.227201779506545,0.192381422212616,0.262022136800474,"orig"
"white~~other",-0.181389451209018,-0.209679102437625,-0.153099799980411,"orig"
"rum_int~~rum_slope",-0.417902809089638,-0.55552692016261,-0.280278698016666,"orig"
"mj_int~~mj_slope",0.555618281562039,0.418541446025553,0.692695117098524,"orig"
